,Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Fish_Leng_1,Fish_Leng_1_tape,Fish_Leng_2,Fish_Leng_2_tape,Fish_Ht,Fish_Ht_tape,Fish_Wdth,Fish_Grth,Sex,Gonad_Wt,DWP.,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass.guts_Wt,Oto_Well_ID,Strontium_marked_Y.N,Scales_Y.N,Scales_num,Fish_Ground_Y.N,Gonad_Saved_Y.N,Gonad_Saved_wt,Fat_Meter_1._L,Fat_Meter_1._R,Fat_Meter_2._L,Fat_Meter_2._R,Fat_Meter_3._L,Fat_Meter_3._R,Fat_Meter_4._L,Fat_Meter_4._R,Dissect_Comments,SpawnStatus,Date_LabDryStart,Fish.BagWt_g,Date_LabDryFinal,DryFish.BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ.kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ.kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ.kg_3,EnergyPDry_3,Bomb_ID_4,Bomb_PelletWt_g_4,EE_value_4,EnergyDensity_mJ.kg_4,EnergyPDry_4,BC_comments,Collection_RiverMile_m,Elevation_m,Year,Fish_Leng_1_mm,Fish_Ht_mm,Fish_Grth_mm,bodysize_pc,bodysize_pc_g_mm,Fecun_num_by_wt1
41,CC-41-2019,CC41-2019,CC-41-19,CC41,2019-07-23,Late,Canyon Creek,8/5/19,61.40097,-144.51765,1.714,41.5,43.4,3.2,3.6,11.3,11.1,6.3,27.6,F,0.248,N/A,47,5.6036,65,6.5207,41,4.417,4.6,4.6,4.8,1.386,1-E1,N,Y,5,Y,Y,0.132,0.7,0.8,0.8,0.7,0.7,0.8,0.7,0.6,,NA,10/24/19,144,10/30/19,37,0.7431,0.2569,NA,11/13/19,4,0.1971,923.4282,22.5385,5.791142361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,415,113,276,-1.07267131,-1.07267131,2080.09137
42,CC-42-2019,CC42-2019,CC-42-19,CC42,2019-07-23,Late,Canyon Creek,8/2/19,61.40097,-144.51765,1.786,45.1,46.3,4.2,4.5,10.9,13.4,6.3,28.6,F,0.25,N/A,83,7.2886,119,10.9818,95,9.227,4.2,4.4,4.3,1.446,1-D2,N,Y,5,Y,Y,0.134,1,0.9,0.9,0.8,0.8,0.6,0.7,0.6,captured at Haley Creek,NA,10/24/19,130.9,10/30/19,32.7,0.7502,0.2498,NA,11/19/19,2,0.2551,923.6164,22.0973,5.520104736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,451,109,286,-0.55274126,-0.55274126,2846.911615
43,CC-43-2019,CC43-2019,CC-43-19,CC43,2019-07-23,Late,Canyon Creek,8/7/19,61.40097,-144.51765,1.574,40.8,42.1,3.4,4.3,11.2,11.9,6.9,28,F,0.24,N/A,46,5.5006,58,7.383,54,6.9991,5.3,5.4,4.9,1.248,1- G5,N,Y,5,Y,Y,0.112,0.7,0.8,0.9,1,0.7,1.2,0.7,1.1,,NA,10/24/19,213.8,10/30/19,53.9,0.7479,0.2521,NA,11/19/19,4,0.2907,923.4282,22.4857,5.668752245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,408,112,280,-1.177184195,-1.177184195,2007.053776
44,CC-44-2019,CC44-2019,CC-44-19,CC44,2019-07-23,Late,Canyon Creek,8/5/19,61.40097,-144.51765,2.102,47.8,48.5,4.3,4.7,11.2,12.8,6,29.2,F,0.13,N/A,87,4.5445,44,5.2954,74,3.7995,4.5,4.2,3.9,1.864,1-D11,N,Y,5,Y,Y,0.6,4.9,5.1,3.5,3.2,1.7,2,1,1.6,1 broken oto,NA,10/24/19,84.3,10/30/19,25.6,0.6963,0.3037,NA,11/19/19,2,0.2893,923.6164,25.0205,7.598158956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,478,112,292,0.08981698,0.08981698,2488.722632
45,CC-45-2019,CC45-2019,CC-45-19,CC45,2019-07-23,Late,Canyon Creek,8/5/19,61.40097,-144.51765,1.812,43.5,47.5,3.7,4.4,10.4,11.4,5.4,26.5,F,0.162,N/A,42,2.7024,33,3.4202,62,4.6541,4.4,4.3,4.5,1.644,1-E5,N,Y,5,Y,Y,0.078,3.9,3.1,3.5,1.9,2.6,1.4,1.1,0.9,,NA,10/24/19,175.7,10/30/19,50.8,0.7109,0.2891,NA,11/19/19,4,0.2904,923.4282,25.0417,7.240286625,2,0.2247,923.6164,25.9849,7.512993284,4,0.3112,923.4282,25.0177,7.233347524,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,435,104,265,-1.306202976,-1.306202976,2517.761989
51,CC-51-2019,CC51-2019,CC-51-19,CC51,2019-07-24,Late,Canyon Creek,8/6/19,61.40097,-144.51765,2.312,47.2,47.9,4.4,4.5,10.7,14,7.5,29.1,F,0.214,N/A,55,6.4186,59,6.5743,53,6.754,4.6,4.8,4.8,1.988,1-E8,N,Y,5,Y,Y,0.098,2.2,2.4,2,1.7,1.4,1.7,1.1,1.1,,NA,10/24/19,145.2,11/3/19,42.8,0.7052,0.2948,NA,11/25/19,2,0.2445,923.1981,22.8154,6.725200551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,472,107,291,-0.245155562,-0.245155562,1833.733213
53,CC-53-2019,CC53-2019,CC-53-19,CC53,2019-07-24,Late,Canyon Creek,8/1/19,61.40097,-144.51765,1.906,45.6,46.9,4.1,4.5,11,13.3,6.8,28.2,F,0.23,N/A,81,13.3802,72,13.6137,68,15.0168,5.2,5.5,5,1.592,1-C12,N,Y,5,Y,Y,0.094,2.6,2.9,1.9,2.2,1.7,1.8,1.2,1.2,,NA,10/30/19,88.9,11/3/19,28,0.685,0.315,NA,11/25/19,2,0.2914,923.1981,24.1328,7.60088189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,456,110,282,-0.479975489,-0.479975489,1392.355869
54,CC-54-2019,CC54-2019,CC-54-19,CC54,2019-07-24,Late,Canyon Creek,8/6/19,61.40097,-144.51765,2.048,46.5,47.4,4.1,4.5,11.7,11.3,6.5,29.3,F,0.166,N/A,59,4.3213,64,4.6523,37,2.3837,4.4,4.6,4.5,1.83,1-F8,Y,Y,5,Y,Y,0.09,7.3,7.1,7.6,6,4.9,3.6,1.5,1.9,,NA,10/30/19,128.4,11/3/19,42.4,0.6698,0.3302,NA,11/25/19,4,0.3942,923.4282,25.2695,8.344445483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,465,117,293,0.123191933,0.123191933,2266.447597
57,CC-57-2019,CC57-2019,CC-57-19,CC57,2019-07-24,Late,Canyon Creek,8/1/19,61.40097,-144.51765,1.87,44.6,45.2,4.1,4.2,11.7,13.6,7.2,28.4,F,0.26,N/A,119,13.7958,100,12.0315,92,10.8533,5.3,5.4,5.5,1.52,1-C8,N,Y,6,Y,Y,0.122,1.1,1.2,1.1,1.2,1.2,0.9,1,0.7,,NA,10/30/19,156.9,11/3/19,40.5,0.7419,0.2581,NA,11/25/19,2,0.3223,923.1981,22.2181,5.735073614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,446,117,284,-0.295294777,-0.295294777,2242.71155
58,CC-58-2019,CC58-2019,CC-58-19,CC58,2019-07-24,Late,Canyon Creek,8/6/19,61.40097,-144.51765,1.966,45.6,46.1,3.7,3.8,11.6,12,6.7,29.2,F,0.154,N/A,51,4.802,44,3.9192,47,4.6656,4.7,4.4,4.6,1.77,1- F7,Y,Y,5,Y,Y,0.088,8.3,9.8,8.1,6.4,5.1,5.6,1.7,1.3,,NA,10/30/19,101.9,11/3/19,35.5,0.6516,0.3484,NA,11/25/19,4,0.4072,923.4282,25.2995,8.813859176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,456,116,292,-0.078006467,-0.078006467,1635.568513
