,Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Fish_Leng_1,Fish_Leng_1_tape,Fish_Leng_2,Fish_Leng_2_tape,Fish_Ht,Fish_Ht_tape,Fish_Wdth,Fish_Grth,Sex,Gonad_Wt,DWP.,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass.guts_Wt,Oto_Well_ID,Strontium_marked_Y.N,Scales_Y.N,Scales_num,Fish_Ground_Y.N,Gonad_Saved_Y.N,Gonad_Saved_wt,Fat_Meter_1._L,Fat_Meter_1._R,Fat_Meter_2._L,Fat_Meter_2._R,Fat_Meter_3._L,Fat_Meter_3._R,Fat_Meter_4._L,Fat_Meter_4._R,Dissect_Comments,SpawnStatus,Date_LabDryStart,Fish.BagWt_g,Date_LabDryFinal,DryFish.BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ.kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ.kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ.kg_3,EnergyPDry_3,Bomb_ID_4,Bomb_PelletWt_g_4,EE_value_4,EnergyDensity_mJ.kg_4,EnergyPDry_4,BC_comments,Collection_RiverMile_m,Elevation_m,Year,Fish_Leng_1_mm,Fish_Ht_mm,Fish_Grth_mm,bodysize_pc,bodysize_pc_g_mm,Fecun_num_by_wt1
133,BC-14-2021,BC-14-2021,BC-14-21,BC-L-14,2021-06-02,Early,Baird Canyon,6/23/21,60.73831,-144.5687,1.206,38.8,NA,2.5,NA,10.5,NA,6,25,F,0.092,1-B4,10,0.4723,NA,NA,NA,NA,5,NA,NA,1.052,1-A12,N,Y,5,Y,Y,0.036,10.7,8.2,7.9,8,4.8,2.5,2,2.3,,NA,9/26/21,88.8,9/30/21,28.6,0.6779,0.3221,NA,10/1/21,4,0.2772,923.3249,25.4265,8.189165541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,388,105,250,-2.201726669,-2.201726669,1947.914461
136,BC-17-2021,BC-17-2021,BC-17-21,BC-L-17,2021-06-02,Early,Baird Canyon,6/23/21,60.73831,-144.5687,2.114,46.8,NA,3.8,NA,11.7,NA,6.7,29.8,F,0.124,1-B5,10,0.2936,NA,NA,NA,NA,4,NA,NA,1.898,1-B1,N,Y,5,Y,Y,0.054,16.5,11.7,10.5,8.5,4.1,4.7,3,3.8,,NA,9/26/21,136.2,10/1/21,47.7,0.6498,0.3502,NA,10/5/21,4,0.2614,923.3249,26.1097,9.144146035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,468,117,298,0.235751005,0.235751005,4223.433243
140,BC-21-2021,BC-21-2021,BC-21-21,BC-L-21,2021-06-18,Middle,Baird Canyon,6/24/21,60.73831,-144.5687,1.882,44.6,NA,3.9,NA,11.6,NA,7.2,28.5,F,0.166,1-D1,10,0.6253,NA,NA,NA,NA,4.1,NA,NA,1.642,1-C1,N,Y,5,Y,Y,0.066,6.1,7.8,4.6,4.7,1.6,1.7,1,1.2,,NA,9/27/21,122,10/1/21,36.1,0.7041,0.2959,NA,10/5/21,4,0.3192,923.3249,26.0172,7.698532131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,446,116,285,-0.327655801,-0.327655801,2654.725732
146,BC-27-2021,BC-27-2021,BC-27-21,BC-L-27,2021-06-18,Middle,Baird Canyon,6/24/21,60.73831,-144.5687,1.546,40.1,NA,3,NA,10.5,NA,7.2,26.9,F,0.194,1-C5,10,0.859,NA,NA,NA,NA,5.5,NA,NA,1.28,1-B9,N,Y,5,Y,Y,0.09,4.1,5.3,4.5,5.1,4.2,3.2,1.2,1.4,,NA,9/27/21,124,10/1/21,32.9,0.7347,0.2653,NA,10/5/21,4,0.3167,923.3249,25.0733,6.652512661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,401,105,269,-1.748604502,-1.748604502,2258.440047
148,BC-29-2021,BC-29-2021,BC-29-21,BC-L-29,2021-06-18,Middle,Baird Canyon,6/24/21,60.73831,-144.5687,2.126,45.5,NA,3.5,NA,11.8,NA,6.7,30,F,0.11,1-D4,10,0.401,NA,NA,NA,NA,4.3,NA,NA,1.918,1-C4,N,Y,5,Y,Y,0.048,10.4,11.7,8.4,8.5,4.3,4.3,3.6,4.1,,NA,9/27/21,119,10/1/21,43.1,0.6378,0.3622,NA,10/5/21,4,0.3067,923.3249,24.0307,8.70355605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,455,118,300,0.100718823,0.100718823,2743.142145
149,BC-30-2021,BC-30-2021,BC-30-21,BC-L-30,2021-06-18,Middle,Baird Canyon,6/24/21,60.73831,-144.5687,2.546,49,NA,4.1,NA,13.3,NA,7.9,32.5,F,0.06,1-C8,10,0.5788,NA,NA,NA,NA,3.9,NA,NA,2.352,1-B12,N,Y,5,Y,Y,0.06,15.3,15.7,12.1,13.2,8.9,7.1,4.5,3.4,,NA,9/27/21,101,10/4/21,38.2,0.6218,0.3782,NA,10/5/21,2,0.2617,955.4635,28.2575,10.6874901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,490,133,325,1.661215886,1.661215886,1036.627505
150,BC-31-2021,BC-31-2021,BC-31-21,BC-L-31,2021-06-18,Middle,Baird Canyon,6/24/21,60.73831,-144.5687,2.308,48.5,NA,4,NA,12.8,NA,7.1,32,F,0.094,1-C7,10,0.4008,NA,NA,NA,NA,3.2,NA,NA,2.134,1-B11,N,Y,5,Y,Y,0.046,20.6,19,15.8,15.5,9.7,6.8,4.5,3.4,,NA,9/27/21,122,10/1/21,43.2,0.6459,0.3541,NA,10/5/21,4,0.3024,923.3249,26.4667,9.371815082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,485,128,320,1.290166181,1.290166181,2345.309381
151,BC-32-2021,BC-32-2021,BC-32-21,BC-L-32,2021-06-18,Middle,Baird Canyon,6/24/21,60.73831,-144.5687,1.934,44,NA,4,NA,12.2,NA,7.3,29.8,F,0.074,1-C6,10,0.4018,NA,NA,NA,NA,3.6,NA,NA,1.79,1-B10,N,Y,5,Y,Y,0.034,16.4,17.4,13,13.1,6.3,6.8,4.1,3.5,,NA,9/27/21,104,10/1/21,35.3,0.6606,0.3394,NA,10/5/21,2,0.2865,955.4635,26.4787,8.987481827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,440,122,298,0.018034918,0.018034918,1841.712295
152,BC-33-2021,BC-33-2021,BC-33-21,BC-L-33,2021-06-18,Middle,Baird Canyon,6/24/21,60.73831,-144.5687,2.418,48.8,NA,3.5,NA,12.9,NA,7.1,31.3,F,0.112,1-D2,10,0.3886,NA,NA,NA,NA,3.7,NA,NA,2.204,1-C2,N,Y,5,Y,Y,0.056,15.3,15.5,13.4,13.1,9,7.6,4.9,5.1,,NA,9/27/21,92,10/1/21,32.1,0.6511,0.3489,NA,10/5/21,4,0.4372,923.3249,26.8033,9.352020978,2,0.3798,955.4635,27.7401,9.678882717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,488,129,313,1.292221797,1.292221797,2882.141019
153,BC-34-2021,BC-34-2021,BC-34-21,BC-L-34,2021-06-18,Middle,Baird Canyon,6/24/21,60.73831,-144.5687,1.906,44.5,NA,3.5,NA,11.2,NA,7.5,29,F,0.188,1-D5,10,0.7367,NA,NA,NA,NA,4.7,NA,NA,1.63,1-C5,N,Y,5,Y,Y,0.096,10.8,9.3,6.7,8,2.8,3.4,1.3,2.4,,NA,9/27/21,103,10/1/21,34.8,0.6621,0.3379,NA,10/5/21,4,0.2759,923.3249,26.8691,9.078103689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,445,112,290,-0.459985773,-0.459985773,2551.920728
158,BC-39-2021,BC-39-2021,BC-39-21,BC-L-39,2021-06-18,Middle,Baird Canyon,6/24/21,60.73831,-144.5687,1.752,43.2,NA,2.9,NA,11.5,NA,6.8,28.4,F,0.138,1-D6,10,0.626,NA,NA,NA,NA,4.1,NA,NA,1.538,1-C6,N,Y,5,Y,Y,0.068,9.1,7.4,6.5,6.3,2.4,2.6,1.6,2.2,,NA,9/27/21,121,10/1/21,39.2,0.676,0.324,NA,10/5/21,2,0.3416,955.4635,27.2615,8.831824793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,432,115,284,-0.608221987,-0.608221987,2204.472843
159,BC-40-2021,BC-40-2021,BC-40-21,BC-L-40,2021-06-18,Middle,Baird Canyon,6/24/21,60.73831,-144.5687,1.862,42.9,NA,3.8,NA,11.5,NA,6.8,28.5,F,0.136,1-D3,10,0.5761,NA,NA,NA,NA,4.6,NA,NA,1.646,1-C3,N,Y,5,Y,Y,0.062,6.9,7.6,6.6,6.9,1.8,2.3,1.2,1.8,,NA,10/4/21,112.2,10/8/21,35.3,0.6854,0.3146,NA,10/8/21,2,0.305,955.4635,27.1877,8.553705971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,429,115,285,-0.642854979,-0.642854979,2360.701267
160,BC-41-2021,BC-41-2021,BC-41-21,BC-L-41,2021-07-08,Late,Baird Canyon,7/24/21,60.73831,-144.5687,2.19,45.2,NA,4.3,NA,13.1,NA,6.9,31.9,F,0.148,3-A5,10,0.3738,NA,NA,NA,NA,4,NA,NA,1.966,2-A5,N,Y,5,Y,Y,0.078,9.2,9.1,6.4,8.9,3.7,5.3,3.3,4.8,,NA,9/27/21,69,10/1/21,23.7,0.6565,0.3435,NA,10/5/21,4,0.2655,923.3249,26.6856,9.165923478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,452,131,319,0.889397219,0.889397219,3959.336544
161,BC-42-2021,BC-42-2021,BC-42-21,BC-L-42,2021-07-08,Late,Baird Canyon,7/24/21,60.73831,-144.5687,2.43,49.9,NA,3.8,NA,11.8,NA,6.9,30.2,F,0.152,3-B1,10,0.414,NA,NA,NA,NA,4.4,NA,NA,2.206,2-A9,Y,Y,5,Y,Y,0.074,9,8.5,5.1,8.1,2.3,4,1.8,3.5,,NA,10/4/21,117.2,10/8/21,41.1,0.6493,0.3507,NA,10/8/21,4,0.3305,923.3249,26.7827,9.392226706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,499,118,302,0.825130707,0.825130707,3671.497585
162,BC-43-2021,BC-43-2021,BC-43-21,BC-L-43,2021-07-08,Late,Baird Canyon,7/24/21,60.73831,-144.5687,2.164,46.7,NA,4.1,NA,12.2,NA,6.5,30.5,F,0.112,3-B2,10,0.1996,NA,NA,NA,NA,3.8,NA,NA,1.966,2-A10,N,Y,6,Y,Y,0.052,8,6.7,6.4,6.6,3.8,5.8,3.9,4.1,,NA,9/27/21,83,10/4/21,28.2,0.6602,0.3398,NA,10/5/21,2,0.2934,955.4635,26.6235,9.045574699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,467,122,305,0.537534726,0.537534726,5611.222445
164,BC-45-2021,BC-45-2021,BC-45-21,BC-L-45,2021-07-08,Late,Baird Canyon,7/24/21,60.73831,-144.5687,1.762,41.4,NA,2.8,NA,11.2,NA,6.8,28.7,F,0.138,3-B3,10,0.3523,NA,NA,NA,NA,4.2,NA,NA,1.552,2-A11,N,Y,5,Y,Y,0.064,3.4,3.7,3.1,2.9,2.6,4.1,1.2,1.6,,NA,9/27/21,87,10/1/21,26.8,0.692,0.308,NA,10/5/21,2,0.3052,955.4635,25.0496,7.716428506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,414,112,287,-0.991029091,-0.991029091,3917.116094
165,BC-46-2021,BC-46-2021,BC-46-21,BC-L-46,2021-07-08,Late,Baird Canyon,7/24/21,60.73831,-144.5687,2.244,47.4,NA,3.5,NA,12.1,NA,6.8,30.7,F,0.17,3-B5,10,0.3948,NA,NA,NA,NA,4.25,NA,NA,2.004,2-B1,N,Y,5,Y,Y,0.074,3,2.8,2.6,1.7,0.8,1.2,1.4,0.9,,NA,9/27/21,95,10/1/21,31.2,0.6716,0.3284,NA,10/5/21,4,0.3209,923.3249,24.7605,8.131869474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,474,121,307,0.629276284,0.629276284,4305.97771
168,BC-49-2021,BC-49-2021,BC-49-21,BC-L-49,2021-07-08,Late,Baird Canyon,7/24/21,60.73831,-144.5687,2.172,46.8,NA,3.1,NA,11.6,NA,6.5,29.6,F,0.136,3-B4,10,0.3098,NA,NA,NA,NA,4,NA,NA,1.954,2-A12,N,Y,5,Y,Y,0.07,6.5,7.6,6.2,6.2,4.4,3,1.7,1.9,,NA,9/27/21,92,10/1/21,29.9,0.675,0.325,NA,10/5/21,2,0.3456,955.4635,25.7946,8.383245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,468,116,296,0.164426941,0.164426941,4389.928986
171,BC-52-2021,BC-52-2021,BC-52-21,BC-L-52,2021-07-08,Late,Baird Canyon,7/24/21,60.73831,-144.5687,1.4,39.5,NA,3.1,NA,9.9,NA,6,26.6,F,0.086,3-B8,10,0.3831,NA,NA,NA,NA,4.3,NA,NA,1.264,2-B4,N,Y,5,Y,Y,0.04,6.1,6.1,5.8,4.8,2.8,3.4,3.1,3.8,,NA,10/4/21,83.4,10/7/21,29,0.6523,0.3477,NA,10/8/21,2,0.1921,955.4635,26.7011,9.284555156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,395,99,266,-2.154901109,-2.154901109,2244.844688
176,BC-57-2021,BC-57-2021,BC-57-21,BC-L-57,2021-07-08,Late,Baird Canyon,7/24/21,60.73831,-144.5687,1.14,39,NA,3,NA,9.1,NA,5.8,23.5,F,0.076,3-A7,10,0.3482,NA,NA,NA,NA,4,NA,NA,1.024,2-A7,N,Y,5,Y,Y,0.044,7.5,6.7,4.7,6,4.5,6.7,2.6,2.5,,NA,10/4/21,79,10/7/21,24.4,0.6911,0.3089,NA,10/8/21,4,0.3116,923.3249,26.697,8.245655696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,390,91,235,-2.999676606,-2.999676606,2182.653647
178,BC-59-2021,BC-59-2021,BC-59-21,BC-L-59,2021-07-08,Late,Baird Canyon,7/24/21,60.73831,-144.5687,1.548,42.8,NA,3,NA,10,NA,6.6,26.4,F,0.11,3-B7,10,0.4809,NA,NA,NA,NA,5.05,NA,NA,1.388,2-B3,N,Y,5,Y,Y,0.048,7.3,6.3,6.3,5.4,3,4.6,2.9,4.1,,NA,10/4/21,97.1,10/8/21,33.1,0.6591,0.3409,NA,10/8/21,4,0.4367,923.3249,26.5385,9.046594748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,428,100,264,-1.611700372,-1.611700372,2287.377833
