Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Sex,Gonad_Wt,DWP.,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass.guts_Wt,Oto_Well_ID,Strontium_marked_Y.N,Scales_Y.N,Scales_num,Fish_Ground_Y.N,Gonad_Saved_Y.N,Gonad_Saved_wt,Fat_Meter_1._L,Fat_Meter_1._R,Fat_Meter_2._L,Fat_Meter_2._R,Fat_Meter_3._L,Fat_Meter_3._R,Fat_Meter_4._L,Fat_Meter_4._R,Dissect_Comments,Date_LabDryStart,Fish.BagWt_g,Date_LabDryFinal,DryFish.BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ.kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ.kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ.kg_3,EnergyPDry_3,Bomb_ID_4,Collection_RiverMile_m,Elevation_m,Year,Group_Assignment,Fish_Leng_1_mm,Fish_Leng_2_mm,Fish_Ht_mm,Fish_Grth_mm,Fish_Wdth_mm,Fish_Wt_g,bodysize_pc_g_mm,Work,Gonad_Wt_g,EnergyPDry_1_mJ_g,Carcass.guts_Wt_g,TotalEnergy_carcass_mJ,fineness
MA-7-2019,MA7-2019,MA-7-19,MA7,2019-08-20,NA,Mahlo,9/3/19,61.73588,-145.7294181,2.32,M,0.036,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.118,2-D8,N,Y,5,Y,Y,0.016,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.4,,2/5/20,84.2,2/11/20,16.5,0.804,0.196,,2/14/20,4,0.2717,923.3249,19.0055,3.724355701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2019,KlutinaLake,488,54,150,354,69,2320,2.357298014,164.9,36,0.003724356,2118,7.888185375,7.072463768
MA-8-2019,MA8-2019,MA-8-19,MA8,2019-08-20,NA,Mahlo,9/4/19,61.73588,-145.7294181,2.14,M,0.032,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.012,2-E10,N,Y,5,Y,Y,0.012,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.4,,2/5/20,80.9,2/11/20,16.2,0.7998,0.2002,,2/14/20,2,0.3651,923.1981,19.7064,3.946151792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2019,KlutinaLake,463,78,144,340,65,2140,1.549221174,164.9,32,0.003946152,2012,7.939657406,7.123076923
TN-6-2019,TNL6-2019,TN-6-19,TNL6,2019-09-10,NA,Tanada,9/19/19,62.45133,-143.382153,3.54,M,0.06,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26,2-F6,N,Y,5,Y,Y,0.03,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.5,,2/5/20,122.2,2/11/20,24.4,0.8003,0.1997,,2/14/20,2,0.2394,923.1981,21.7521,4.343299836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2019,TanadaCopperLakes,500.2,90.9,180.4,420.3,50.5,3540,4.367090578,419,60,0.0043433,3260,14.15915747,9.904950495
TN-7-2019,TNL7-2019,TN-7-19,TNL7,2019-09-10,NA,Tanada,9/10/19,62.45133,-143.382153,2.002,M,0.022,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.876,2-F7,N,Y,5,Y,Y,0.01,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,,2/5/20,127.6,2/11/20,23.7,0.8143,0.1857,,2/14/20,4,0.4144,923.3249,19.3748,3.598610972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2019,TanadaCopperLakes,460.4,70.2,140.6,310.6,40.7,2002,0.982700046,419,22,0.003598611,1876,6.750994183,11.31203931
TN-8-2019,TNL8-2019,TN-8-19,TNL8,2019-09-10,NA,Tanada,9/19/19,62.45133,-143.382153,2.946,M,0.076,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.714,2-F9,N,Y,5,Y,Y,0.038,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,,2/5/20,124.7,2/11/20,24.8,0.8011,0.1989,,2/14/20,2,0.3603,923.1981,20.5642,4.089752686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2019,TanadaCopperLakes,500.5,80.4,160.1,380,50.7,2946,3.23168464,419,76,0.004089753,2714,11.09958879,9.871794872
TN-9-2019,TNL9-2019,TN-9-19,TNL9,2019-09-10,NA,Tanada,9/19/19,62.45133,-143.382153,2.004,M,0.03,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.898,2-F10,N,Y,NA,Y,Y,0.016,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,,2/5/20,151.1,2/11/20,31.1,0.7942,0.2058,,2/14/20,4,0.4018,923.3249,20.415,4.201896095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2019,TanadaCopperLakes,460.7,60.9,120.1,290.8,50.3,2004,0.140193797,419,30,0.004201896,1898,7.975198788,9.159045726
TN-10-2019,TNL10-2019,TN-10-19,TNL10,2019-09-10,NA,Tanada,9/19/19,62.45133,-143.382153,2.488,M,0.04,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-F8,N,Y,5,Y,Y,0.016,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.5,,2/5/20,170.5,2/11/20,33.4,0.8041,0.1959,,2/14/20,2,0.3191,923.1981,21.0252,4.118719531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2019,TanadaCopperLakes,470.2,80.3,160.4,360.6,50.9,2488,2.423604806,419,40,0.00411872,,,9.237721022
MN-1-2020,MN-20-1,MN-1-20,MN-20-1,2020-07-30,NA,Mentasta,9/23/20,62.94958,-143.35984,1.896,M,0.05,2-A6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71,2-A6 (1 OTO,N,Y (bad scales),,Y,Y,0.028,0.5,0.3,0.2,0.3,0.3,0.3,0.4,0.5,,1/10/21,104.1,1/14/21,19.7,0.8108,0.1892,NA,2/8/21,4,0.4666,923.3249,20.1929,3.821326897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2020,Slana,454,70,133,315,55,1896,0.72649381,320.1,50,0.003821327,1710,6.534468994,8.254545455
MN-2-2020,MN-20-2,MN-2-20,MN-20-2,2020-07-30,NA,Mentasta,9/24/20,62.94958,-143.35984,2.024,M,0.036,2-C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.848,2-B7 (1 OTO),N,,,Y,Y,0.02,0.4,0.4,0.4,0.5,0.6,0.5,0.6,0.5,,1/10/21,81.3,1/14/21,15.6,0.8081,0.1919,NA,2/8/21,2,0.3468,955.4635,19.8806,3.814727675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2020,Slana,456,67,140,320,43,2024,1.025596727,320.1,36,0.003814728,1848,7.049616743,10.60465116
MN-3-2020,MN-20-3,MN-3-20,MN-20-3,2020-07-30,NA,Mentasta,9/26/20,62.94958,-143.35984,1.04,M,0.03,Fin well ID 41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.946,2-D5 (1 OTO),N,Y,5,Y,Y,0.016,0.3,0.4,0.4,0.3,0.4,0.5,0.4,0.5,,1/10/21,103.6,1/14/21,18.3,0.8234,0.1766,NA,2/8/21,4,0.4429,923.3249,19.3462,3.417330695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2020,Slana,388,44,110,238.9315865,29,1040,-2.171475379,320.1,30,0.003417331,946,3.232794837,13.37931034
