,Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Fish_Leng_1,Fish_Leng_1_tape,Fish_Leng_2,Fish_Leng_2_tape,Fish_Ht,Fish_Ht_tape,Fish_Wdth,Fish_Grth,Sex,Gonad_Wt,DWP.,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass.guts_Wt,Oto_Well_ID,Strontium_marked_Y.N,Scales_Y.N,Scales_num,Fish_Ground_Y.N,Gonad_Saved_Y.N,Gonad_Saved_wt,Fat_Meter_1._L,Fat_Meter_1._R,Fat_Meter_2._L,Fat_Meter_2._R,Fat_Meter_3._L,Fat_Meter_3._R,Fat_Meter_4._L,Fat_Meter_4._R,Dissect_Comments,SpawnStatus,Date_LabDryStart,Fish.BagWt_g,Date_LabDryFinal,DryFish.BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ.kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ.kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ.kg_3,EnergyPDry_3,Bomb_ID_4,Bomb_PelletWt_g_4,EE_value_4,EnergyDensity_mJ.kg_4,EnergyPDry_4,BC_comments,Collection_RiverMile_m,Elevation_m,Year,Group_Assignment,assign_likelihood,Work_km2,Fish_Leng_1_mm,Fish_Ht_mm,Fish_Grth_mm,bodysize_pc,bodysize_pc_g_mm,Fecun_num_by_wt1
51,CA-11-2020,CA-20-51,CA-11-20,CA-20-51,2020-08-06,Late,Chitina Airport,9/28/20,61.586499,-144.427586,1.798,44.3,NA,4,NA,10.5,NA,5.2,27,F,0.23,Fin well ID 1(2),10,0.7713,NA,NA,NA,NA,4.6,NA,NA,1.474,2-E1 (1 oto),N,Y,5,Y,Y,0.106,NA,,NA,NA,NA,NA,NA,NA,,NA,11/23/20,96.9,1/5/21,24.6,0.7461,0.2539,NA,2/5/21,4,0.407,923.3249,21.7376,5.518523839,4,0.4458,923.3249,21.4656,5.449471207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150114.06,NA,2020,KlutinaTonsinaOutlet,0.85,160.7660338,443,105,270,-1.223371077,-1.223371077,2981.978478
52,CA-12-2020,CA-20-52,CA-12-20,CA-20-52,2020-08-06,Late,Chitina Airport,9/28/20,61.586499,-144.427586,1.66,42,NA,3.7,NA,10.5,NA,5,26.8,F,0.18,Fin clip ID: 46,10,0.6211,NA,NA,NA,NA,4.4,NA,NA,1.384,2-D10 (1 oto),Y,Y,6,Y,Y,0.086,4.3,3.5,4.2,2.8,4.5,3.1,2.7,1.9,,NA,11/23/20,108.9,1/5/21,35.4,0.6749,0.3251,NA,2/5/21,2,0.4661,955.4635,25.5009,8.28954876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150114.06,NA,2020,GulkanaHatchery,1,425.7602743,420,105,268,-1.584038604,-1.584038604,2898.084044
53,CA-13-2020,CA-20-53,CA-13-20,CA-20-53,2020-08-06,Late,Chitina Airport,9/28/20,61.586499,-144.427586,1.426,39.9,NA,3.6,NA,10.4,NA,4.7,26.1,F,0.164,Fin well ID: 9(2),NA,NA,NA,NA,NA,NA,4.2,NA,NA,1.198,2-E9 (1 oto),N,Y,6,Y,Y,0.092,0.8,0.8,1.1,1.6,1.9,0.7,0.7,0.6,,NA,11/23/20,108.4,1/5/21,28.6,0.7362,0.2638,NA,2/5/21,2,0.4873,955.4635,23.876,6.299387454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150114.06,NA,2020,KlutinaTonsinaOutlet,1,160.7660338,399,104,261,-2.053512815,-2.053512815,NA
54,CA-14-2020,CA-20-54,CA-14-20,CA-20-54,2020-08-06,Late,Chitina Airport,,61.586499,-144.427586,2.076,48.5,NA,3.6,NA,10.5,NA,5.4,28,F,0.18,Fin well ID 2(2),NA,NA,NA,NA,NA,NA,4.6,NA,NA,1.806,2-E2,Y,Y,4,Y,Y,0.09,1.3,1.7,1,1.4,0.8,1.3,0.8,0.7,,NA,11/23/20,133,1/5/21,39.7,0.7015,0.2985,NA,2/5/21,4,0.5125,923.3249,18.1292,5.411498045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150114.06,NA,2020,GulkanaHatchery,1,425.7602743,485,105,280,-0.445011649,-0.445011649,NA
55,CA-16-2020,CA-20-56,CA-16-20,CA-20-56,2020-08-06,Late,Chitina Airport,9/28/20,61.586499,-144.427586,1.872,44,NA,4,NA,11.2,NA,5.2,28.5,F,0.192,Fin Well ID: 5(2),NA,NA,NA,NA,NA,NA,5.1,NA,NA,1.582,2-E5 (1 OTO),N,Y,6,Y,Y,0.076,2.1,1.6,1.8,1.5,1.6,1.9,1.3,0.8,,NA,11/23/20,110,1/5/21,33.1,0.6991,0.3009,NA,2/5/21,4,0.3226,923.3249,18.0088,5.419011636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150114.06,NA,2020,KlutinaTonsinaOutlet,1,160.7660338,440,112,285,-0.684567393,-0.684567393,NA
58,CA-19-2020,CA-20-59,CA-19-20,CA-20-59,2020-08-06,Late,Chitina Airport,9/28/20,61.586499,-144.427586,1.336,40,NA,3.8,NA,9.7,NA,4.8,25.6,F,0.134,Fin well ID 47,NA,NA,NA,NA,NA,NA,5.2,NA,NA,1.132,2-D11,N,Y,8,Y,Y,0.064,1.5,2.5,1.2,1.6,1.1,1.2,2,1,,NA,11/23/20,93.4,1/5/21,27.2,0.7088,0.2912,NA,2/5/21,4,0.4181,923.3249,23.8014,6.931456959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150114.06,NA,2020,KlutinaLake,0.51,174.5126368,400,97,256,-2.431752154,-2.431752154,NA
60,BC-1-2021,BC-1-2021,BC-1-21,BC-L-1,2021-06-02,Early,Baird Canyon,6/23/21,60.73831,-144.5687,2.328,45.4,NA,3.3,NA,13.7,NA,7.7,31,F,0.132,1-C1,10,0.4759,NA,NA,NA,NA,5.5,NA,NA,2.088,1-B5,N,Y,5,Y,Y,0.072,9.2,8,9.1,7.6,5.8,5.5,2.5,2.6,,NA,9/24/21,64.7,9/28/21,23.6,0.6352,0.3648,NA,10/1/21,2,0.3798,955.4635,25.689,9.370330757,NA,9.0774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,Gulkana,0.96,390.7567857,454,137,310,1.047751355,1.047751355,2773.691952
61,BC-2-2021,BC-2-2021,BC-2-21,BC-L-2,2021-06-02,Early,Baird Canyon,6/23/21,60.73831,-144.5687,1.646,42.2,NA,3.1,NA,11.4,NA,6.4,28.4,F,0.15,1-C3,10,0.5758,NA,NA,NA,NA,5,NA,NA,1.4,1-B7,N,Y,5,Y,Y,0.084,4.9,4.6,2.7,3.3,1.2,1.4,1.3,1.5,,NA,9/24/21,71.4,9/30/21,22.5,0.6849,0.3151,NA,10/1/21,2,0.2907,955.4635,25.4255,8.012237395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,KlutinaLake,0.87,174.5126368,422,114,284,-0.87103572,-0.87103572,2605.071205
62,BC-3-2021,BC-3-2021,BC-3-21,BC-L-3,2021-06-02,Early,Baird Canyon,6/23/21,60.73831,-144.5687,2.564,46.3,NA,4.1,NA,14.2,NA,7.7,34.3,F,0.222,1-B7,12,0.8384,NA,NA,NA,NA,4.1,NA,NA,2.222,1-B3,N,Y,5,Y,Y,0.11,10.3,10.4,7.8,7.4,5.7,5.2,3.1,4.2,,NA,9/24/21,122,9/30/21,43.1,0.6467,0.3533,NA,10/1/21,4,0.3544,923.3249,26.1136,9.225378361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,KlutinaLake,0.98,174.5126368,463,142,343,2.009476679,2.009476679,3177.480916
63,BC-4-2021,BC-4-2021,BC-4-21,BC-L-4,2021-06-02,Early,Baird Canyon,6/23/21,60.73831,-144.5687,1.984,46.5,NA,4.3,NA,12.3,NA,6.5,29.5,F,0.088,1-B3,10,0.276,NA,NA,NA,NA,4.5,NA,NA,1.804,1-A11,N,Y,6,Y,Y,0.04,7,14.3,11.5,12.1,3.9,4.4,2.6,3.2,,NA,9/24/21,115,9/30/21,42.9,0.627,0.373,NA,10/1/21,2,0.3475,955.4635,28.4498,10.61301235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,TanadaCopperLakes,1,418.9684539,465,123,295,0.323316884,0.323316884,3188.405797
