,Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Fish_Leng_1,Fish_Leng_1_tape,Fish_Leng_2,Fish_Leng_2_tape,Fish_Ht,Fish_Ht_tape,Fish_Wdth,Fish_Grth,Sex,Gonad_Wt,DWP.,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass.guts_Wt,Oto_Well_ID,Strontium_marked_Y.N,Scales_Y.N,Scales_num,Fish_Ground_Y.N,Gonad_Saved_Y.N,Gonad_Saved_wt,Fat_Meter_1._L,Fat_Meter_1._R,Fat_Meter_2._L,Fat_Meter_2._R,Fat_Meter_3._L,Fat_Meter_3._R,Fat_Meter_4._L,Fat_Meter_4._R,Dissect_Comments,SpawnStatus,Date_LabDryStart,Fish.BagWt_g,Date_LabDryFinal,DryFish.BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ.kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ.kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ.kg_3,EnergyPDry_3,Bomb_ID_4,Bomb_PelletWt_g_4,EE_value_4,EnergyDensity_mJ.kg_4,EnergyPDry_4,BC_comments,Collection_RiverMile_m,Elevation_m,Year,Group_Assignment,Fish_Leng_1_mm,Fish_Leng_2_mm,Fish_Ht_mm,Fish_Grth_mm,Fish_Wt_g,bodysize_pc_g_mm,Gonad_Wt_g,Work
1,GH-6-2019,GK6-2019,GH-6-19,GK6,2019-07-27,NA,Fish Creek Gulkana,8/7/19,63.1000428,-145.481274,1.376,41.4,42.1,3.4,3.6,10,10.5,6.3,27.2,F,0.21,N/A,49,3.7829,52,4.3651,45,3.971,4.7,4.9,4.4,1.118,1-G9,N,Y,5,Y,Y,0.102,0.9,0.8,0.9,0.8,0.8,0.8,1.2,1.3,,0,11/3/19,137,11/10/19,34.7,0.7467,0.2533,,11/26/19,4,0.2888,923.3249,23.0405,5.835805474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2019,Gulkana,414,34,100,272,1376,-1.505030915,210,468.3
2,GH-7-2019,GK7-2019,GH-7-19,GK7,2019-07-27,NA,Fish Creek Gulkana,8/7/19,63.1000428,-145.481274,1.184,39.8,40,3.5,3.9,8.8,9.7,5.3,24,F,0.188,N/A,68,6.2316,82,9.5306,47,5.5035,4.7,4.2,4.5,0.948,1-G1,N,Y,5,Y,Y,0.1,0.7,1.1,1.3,0.8,1.3,0.7,1,0.7,,0,11/3/19,157.8,11/10/19,37.7,0.7611,0.2389,,11/26/19,2,0.304,923.1981,19.3525,4.62350602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2019,Gulkana,398,35,88,240,1184,-2.580283437,188,468.3
3,GH-8-2019,GK8-2019,GH-8-19,GK8,2019-07-27,NA,Fish Creek Gulkana,8/7/19,63.1000428,-145.481274,1.444,41.6,42.1,3.3,3.8,6.4,10.2,5.6,25.2,F,0.236,N/A,61,7.1919,75,9.5798,48,4.18,4.8,4.6,4.3,1.148,1-G2,N,Y,5,Y,Y,0.138,0.7,0.6,0.8,0.7,0.6,0.7,0.6,0.6,,0,11/3/19,193.6,11/10/19,43.1,0.7774,0.2226,,11/26/19,4,0.3865,923.3249,19.4505,4.330147469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2019,Gulkana,416,33,64,252,1444,-2.743620223,236,468.3
4,GH-9-2019,GK9-2019,GH-9-19,GK9,2019-07-27,NA,Fish Creek Gulkana,8/7/19,63.1000428,-145.481274,2.078,46.2,46.7,4.6,5.2,12.2,11.7,6.9,30.1,F,0.44,N/A,50,6.4796,85,10.2085,93,10.5876,5.1,5.3,5.1,1.59,1-F12,N,Y,5,Y,Y,0.18,1,1.1,1,1.1,0.8,1.4,0.7,1.1,,0,11/3/19,132,11/10/19,35.2,0.7333,0.2667,,11/26/19,2,0.3096,923.1981,22.9675,6.124666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2019,Gulkana,462,46,122,301,2078,0.363420551,440,468.3
5,GH-10-2019,GK10-2019,GH-10-19,GK10,2019-07-27,NA,Fish Creek Gulkana,8/7/19,63.1000428,-145.481274,1.334,40.2,41.6,3.4,4,9,10.2,5.5,24.1,F,0.198,N/A,64,3.9213,89,5.3753,60,3.7846,4.4,4.3,4.1,1.08,1-G8,N,Y,5,Y,Y,0.116,1,1.1,0.9,1,0.8,1,1,1.2,,0,11/3/19,95.2,11/10/19,25.7,0.73,0.27,,11/26/19,4,0.3218,923.3249,22.2529,6.007348004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2019,Gulkana,402,34,90,241,1334,-2.440647716,198,468.3
9,GH-19-2019,GK19-2019,GH-19-19,GK19,2019-08-17,NA,Gulkana Hatchery,9/3/19,63.06732669,-145.5138318,1.792,46.5,47.4,4.2,4.7,10.8,11,5.9,26.9,F,0,N/A,55,3.5626,NA,NA,NA,NA,4.5,NA,NA,1.618,2-D6,N,Y,5,Y,N,NA,0.7,0.5,0.5,0.5,0.7,0.5,0.7,0.5,"LIKELY A PARTIAL SPAWNER, SKEIN LOOSE WITH EGGS THROUGHOUT BODY CAVITY",1,11/10/19,130.5,11/25/19,27,0.7931,0.2069,TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON,12/1/19,2,0.4485,923.1981,21.3085,4.408655172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2019,GulkanaHatchery,465,42,108,269,1792,-0.431628119,0,425.8
12,MN-7-2019,MN7-2019,MN-7-19,MN7,2019-07-26,NA,Mentasta,8/7/19,62.94958,-143.35984,1.52,42.9,44.3,4.2,4.6,10.3,11.5,5.4,25.1,F,0,N/A,32,3.3782,NA,NA,NA,NA,5,NA,NA,1.311,1-G10,N,Y,5,Y,N,NA,0.7,0.8,0.7,0.7,0.6,0.7,0.7,0.8,SKEIN RUPTURED AND FILLING BODY WITH LOOSE EGGS. LIKELY PARTIAL SPAWNER,1,11/15/19,154.8,11/21/19,35.3,0.772,0.228,,12/11/19,4,0.2732,923.3249,21.3669,4.872426163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2019,Slana,429,42,103,251,1520,-1.464455015,0,320.1
14,MN-9-2019,MN9-2019,MN-9-19,MN9,2019-07-26,NA,Mentasta,8/6/19,62.94958,-143.35984,1.46,45.7,47.1,4.7,5.7,9.5,13.2,4.4,24.6,F,0,N/A,40,4.8765,NA,NA,NA,NA,5.6,NA,NA,1.276,1-F1,N,Y,NA,Y,N,NA,0.6,0.4,0.5,0.5,0.5,0.6,0.5,0.5,"SKEINS RUPTURED, EGGS LOOSE, PARTIAL SPAWNER",1,11/15/19,117.9,11/21/19,24.2,0.7947,0.2053,,12/11/19,4,0.3879,923.3249,21.2445,4.360618321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2019,Slana,457,47,95,246,1460,-1.262223318,0,320.1
21,LL-6-2019,LL6-2019,LL-6-19,LL6,2019-08-24,NA,Long Lake,9/4/19,61.37920879,-143.30713,1.534,42.6,43.2,2.9,3.5,10.8,9.7,6.1,25.8,F,0.112,N/A,25,2.1693,23,2.1491,27,2.2968,4,4.2,4.4,1.37,2-F3,N,Y,5,Y,Y,0.05,2.1,1.8,1.3,1.3,1.4,0.9,0.8,0.8,"FM IN FIELD RIGHT SIDE 1.7, 1.4, 0.9, 1.0",0,12/31/19,63.1,1/20/20,19.2,0.6957,0.3043,,2/11/20,2,0.2411,923.1981,24.1516,7.348822821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2019,Chitina,426,29,108,258,1534,-1.278946572,112,111.3
22,LL-7-2019,LL7-2019,LL-7-19,LL7,2019-08-24,NA,Long Lake,9/4/19,61.37920879,-143.30713,1.72,42.4,44.7,3.2,3.6,11,11.3,6.4,28.6,F,0.158,N/A,29,2.5475,18,2.2222,31,2.9073,4.4,4.2,4.2,1.482,2-F5,N,Y,5,Y,Y,0.076,1.7,1.2,1.1,0.9,0.9,0.7,0.9,0.7,"FM IN FIELD 0.8, 0.9, 0.8, 0.7",0,12/31/19,157.1,1/20/20,41,0.739,0.261,,2/11/20,4,0.2477,923.3249,23.935,6.246562699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2019,Chitina,424,32,110,286,1720,-0.852076323,158,111.3
23,LL-8-2019,LL8-2019,LL-8-19,LL8,2019-08-24,NA,Long Lake,9/4/19,61.37920879,-143.30713,1.632,43.5,44,3.9,4.3,10.9,10.5,6.2,26.7,F,0.178,N/A,28,2.964,31,2.9445,30,2.3721,4.5,4.5,4.6,1.392,2-F2,N,Y,5,Y,Y,0.096,0.9,0.8,0.7,0.7,0.6,0.7,0.6,0.7,"FIRST TWO FECUNDITY SAMPLES HAD LOTS OF SKEIN ATTACHED. FM IN FIELD 0.8, 0.6, 0.6, 0.6",0,12/31/19,58.8,1/20/20,15.5,0.7364,0.2636,,2/11/20,2,0.2955,923.1981,22.8806,6.03145068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2019,Chitina,435,39,109,267,1632,-0.962070967,178,111.3
24,LL-9-2019,LL9-2019,LL-9-19,LL9,2019-08-24,NA,Long Lake,9/3/19,61.37920879,-143.30713,1.708,41.7,44.2,3.7,3.7,11,10.8,6.8,27.7,F,0.14,N/A,20,2.084,46,3.0428,19,1.418,4.3,4.1,4.2,1.508,2-C11,N,Y,5,Y,Y,0.07,0.9,1.1,1,0.9,0.8,0.7,1.2,0.9,"FM IN FIELD 0.8, 0.8, 0.7, 0.6",0,12/31/19,76.3,1/20/20,20.5,0.7313,0.2687,,2/11/20,4,0.3102,923.3249,23.2413,6.244385976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2019,Chitina,417,37,110,277,1708,-1.106411127,140,111.3
25,LL-10-2019,LL10-2019,LL-10-19,LL10,2019-08-24,NA,Long Lake,9/3/19,61.37920879,-143.30713,2.07,46.4,47.3,3.7,4.2,11.4,11.3,7.2,29.3,F,0.154,N/A,27,2.2199,23,2.1332,29,2.4411,4.2,4.6,4.3,1.818,2-E1,N,Y,5,Y,Y,0.066,1.7,1.6,1.7,1.3,1.4,1,1.4,0.8,"PUNCTURE WOULD ON VENTRAL SURFACE. FM IN FIELD 1.4, 1.3, 1.1, 0.8",0,12/31/19,62.3,1/20/20,19.3,0.6902,0.3098,,2/11/20,2,0.3571,923.1981,24.4298,7.568140289,4,0.301,923.3249,25.444,7.882330658,4,0.3863,923.3249,25.2729,7.829325361,NA,NA,NA,NA,NA,NA,258752.38,430,2019,Chitina,464,37,114,293,2070,0.06384112,154,111.3
26,MA-1-2019,MA1-2019,MA-1-19,MA1,2019-08-20,NA,Mahlo,9/4/19,61.73588,-145.7294181,1.644,43.6,45.5,3.8,4.1,12,12.2,7.6,28.6,F,0.266,N/A,15,2.4816,20,4.2945,27,4.5288,6.1,6.1,5.9,1.274,2-E9,N,Y,5,Y,Y,0.108,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.6,,0,12/31/19,89,1/20/20,19,0.7865,0.2135,,2/11/20,4,0.4094,923.3249,19.4626,4.154937079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2019,KlutinaLake,436,38,120,286,1644,-0.367637161,266,164.9
28,MA-5-2019,MA5-2019,MA-5-19,MA5,2019-08-20,NA,Mahlo,9/3/19,61.73588,-145.7294181,1.692,41.1,43.4,3.8,3.9,11.8,11.4,7.4,27.4,F,0.388,N/A,24,2.9165,29,3.4189,27,3.0407,5.8,5.6,5.4,1.256,2-D2,N,Y,5,Y,Y,0.178,0.5,0.6,0.6,0.7,0.6,0.5,0.5,0.6,,0,12/31/19,105.6,1/20/20,23.2,0.7803,0.2197,,2/11/20,4,0.3712,923.3249,21.3028,4.680160606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2019,KlutinaLake,411,38,118,274,1692,-1.037411414,388,164.9
32,TN-2-2019,TNL2-2019,TN-2-19,TNL2,2019-09-10,NA,Tanada,,62.45133,-143.382153,2.022,46.7,47.6,4.3,5.5,12,13,6,28.2,F,0.262,N/A,38,3.889,45,3.6776,57,6.358,4.9,4.5,4.6,1.668,N/A,N,Y,NA,Y,Y,0.132,0.8,0.8,0.6,0.7,0.7,0.6,0.6,0.7,,0,2/5/20,99.4,2/11/20,27.8,0.7203,0.2797,,2/14/20,2,0.3062,923.1981,24.2556,6.783759356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2019,TanadaCopperLakes,467,43,120,282,2022,0.120400678,262,419
33,TN-3-2019,TNL3-2019,TN-3-19,TNL3,2019-09-10,NA,Tanada,9/20/19,62.45133,-143.382153,1.956,45.08,46.08,4.09,4.05,11.05,13.05,6.01,28,F,0.296,N/A,34,5.41,37,6.597,55,8.8,4.5,4.3,4.6,1.586,2-F12,N,Y,6,Y,Y,0.166,0.8,0.7,0.8,0.8,0.7,0.7,0.7,0.6,,0,2/5/20,105.8,2/11/20,25.9,0.7552,0.2448,,2/14/20,4,0.3028,923.3249,22.389,5.480861059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2019,TanadaCopperLakes,450.8,40.9,110.5,280,1956,-0.453506073,296,419
34,TN-4-2019,TNL4-2019,N/A,N/A,2019-09-10,NA,Tanada,,62.45133,-143.382153,1.86,45.9,48,4.5,5.5,11.8,14.5,5.8,30.8,F,0.262,N/A,48,7.8909,50,5.1387,83,4.1888,5.2,4.8,4.9,1.532,2-G4,N,Y,5,Y,Y,0.136,0.7,0.6,0.5,0.7,0.6,0.6,0.6,0.5,,0,2/5/20,140.2,2/11/20,33.9,0.7582,0.2418,,2/14/20,2,0.3141,923.1981,21.1332,5.109953495,4,0.2891,923.3249,22.3733,5.409806491,4,0.3106,923.3249,22.3789,5.411160556,NA,NA,NA,NA,NA,NA,472343.24,887,2019,TanadaCopperLakes,459,45,118,308,1860,0.303241699,262,419
36,MN-6-2020,MN-20-6,MN-6-20,MN-20-6,2020-07-30,NA,Mentasta,9/29/20,62.94958,-143.35984,1.554,43.4,NA,3.6,NA,10.3,NA,4.6,26.6,F,0.304,Fin well: 21(2),10,0.8135,NA,NA,NA,NA,5.3,NA,NA,1.162,2-F9,N,Y,5,Y,Y,0.18,0.4,0.7,0.5,0.5,0.4,0.7,0.8,0.8,,0,1/10/21,89.5,1/14/21,19.3,0.7844,0.2156,NA,2/8/21,4,0.4095,923.3249,20.6751,4.458429385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2020,Slana,434,36,103,266,1554,-1.15803772,304,320.1
40,FC-1-2020,FC-20-1,FC-1-20,FC-20-1,2020-07-31,NA,Fish Creek Gulkana,9/28/20,63.1000428,-145.481274,1.232,42.8,NA,4,NA,10.1,NA,3.6,24.1,F,0.212,Fin well ID: 16 (2),10,0.7315,NA,NA,NA,NA,4.7,NA,NA,0.966,2-F4,N,Y,7,Y,Y,0.118,0.4,0.5,0.3,0.4,0.7,0.4,1.2,0.4,,0,1/10/21,93.9,1/14/21,20.2,0.7849,0.2151,NA,2/10/21,2,0.4471,955.4635,20.079,4.319444089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2020,Gulkana,428,40,101,241,1232,-1.682214471,212,468.3
41,FC-2-2020,FC-20-2,FC-2-20,FC-20-2,2020-07-31,NA,Fish Creek Gulkana,9/28/20,63.1000428,-145.481274,1.342,40.9,NA,4.3,NA,10.4,NA,4.7,25.4,F,0.254,Fin well ID: 11,10,0.8079,NA,NA,NA,NA,5,NA,NA,1.044,2-E11,N,Y,5,Y,Y,0.142,0.5,0.7,0.5,0.8,1.2,0.6,1.9,0.7,,0,1/10/21,94.1,1/14/21,23.5,0.7503,0.2497,NA,2/10/21,4,0.5043,923.3249,19.6218,4.900236982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2020,Gulkana,409,43,104,254,1342,-1.745916209,254,468.3
